Nazwa kontenera: K1 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 4958.0kg
Nazwa kontenera: K1 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 3206.0kg
Nazwa kontenera: K2 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: materialy budowlane  | Masa: 5044.0kg
Nazwa kontenera: K3 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: ciecze  | Masa: 3711.0kg
Nazwa kontenera: K4 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: materialy budowlane  | Masa: 7450.0kg
Nazwa kontenera: K5 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 3089.0kg
Nazwa kontenera: K5 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 3175.0kg
Nazwa kontenera: K6 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: materialy budowlane  | Masa: 6398.0kg
Nazwa kontenera: K7 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: materialy budowlane  | Masa: 5455.0kg
Nazwa kontenera: K8 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 3079.0kg
Nazwa kontenera: K8 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 4519.0kg
Nazwa kontenera: K9 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: ciecze  | Masa: 4586.0kg
Nazwa kontenera: K10 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 4124.0kg
Nazwa kontenera: K10 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 5425.0kg
Nazwa kontenera: K11 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: materialy budowlane  | Masa: 4191.0kg
